ISOURBID,ISO3,URBID,NAME,SCHNM,ES90POP,ES95POP,ES00POP,SQKM_FINAL,URB_D_MEAN,BUF_D_MEAN,D_T_DIFF,URB_N_MEAN,BUF_N_MEAN,N_T_DIFF,LATITUDE,LONGITUDE
MWI90017,MWI,90017,Chikwawa,CHIKWAWA,4955,6039,7360,15.29,41.21,39.98,1.23,23.83,23.49,0.35,-16.01998207,34.79000084
UGA90017,UGA,90017,WOBULENZI,WOBULENZI,5163,6403,7726,6.54,33.35,31.78,1.57,14.67,14.59,0.08,0.717215256,32.52833172
KEN90017,KEN,90017,AHERO TOWN COUNCIL,AHERO,5744,6946,8146,14.70,47.50,46.91,0.59,17.89,17.86,0.03,-0.183333155,34.91666783
MDG90017,MDG,90017, ,BESALAMPY,6212,7781,9216,18.53,31.48,30.89,0.59,23.51,22.08,1.43,-16.74997474,44.48333324
TCD90017,TCD,90017, ,BOL,6348,7769,9676,22.54,48.12,46.02,2.11,17.55,17.69,-0.14,13.55322259,14.69072047
CAF90017,CAF,90017,Bossembélé,BOSSEMBELE,6378,6378,6378,27.65,27.97,26.92,1.06,15.90,18.20,-2.30,5.266667157,17.64999956
ARG90017,ARG,90017,Las Lajitas,LASLAJITAS,6533,7081,7583,56.44,41.99,41.25,0.74,18.26,18.78,-0.52,-24.68304132,-64.25096054
PER90017,PER,90017,BUENOS AIRES,BUENOSAIRES,7290,8175,9035,35.57,45.90,39.59,6.31,21.26,20.83,0.43,-5.260833533,-79.96416496
SDN90017,SDN,90017,Bentiu,BENTIU,7672,10161,13129,15.77,36.33,36.56,-0.22,21.88,21.67,0.21,9.239999715,29.82999981
MLI90017,MLI,90017,Ansongo-Dioula,ANSONGODIOULA,7820,8666,9635,17.48,44.46,45.16,-0.70,20.35,19.71,0.64,15.66887695,0.504582612
KHM90017,KHM,90017,Takêv,TAKEV,8741,11465,15350,48.47,35.92,34.57,1.36,25.54,25.19,0.36,10.98333336,104.7833325
COD90017,COD,90017,Mahagi,MAHAGI,9155,9155,9155,43.03,28.16,28.39,-0.23,13.12,13.90,-0.78,2.266448248,30.98332975
ITA90017,ITA,90017,Goito,GOITO,9161,9358,9559,28.22,36.20,36.46,-0.26,17.64,17.45,0.19,45.24998911,10.66999933
BOL90017,BOL,90017,Vinto,VINTO,9241,11081,12822,46.91,17.32,17.80,-0.48,-11.08,-9.89,-1.19,-17.21663762,-66.08333621
CHE90017,CHE,90017,Ecublens,ECUBLENS,9743,9982,10227,33.92,32.13,30.99,1.14,13.29,13.70,-0.42,46.59997901,6.789999402
BFA90017,BFA,90017,LIPTOUGOU,LIPTOUGOU,10179,12837,16151,25.76,41.69,43.00,-1.31,19.35,21.03,-1.68,13.19941116,0.316666885
AUT90017,AUT,90017,Eisenstadt,EISENSTADT,10255,10732,11231,45.90,36.36,35.14,1.23,14.33,15.26,-0.93,47.90996819,16.70000115
ROU90017,ROU,90017,Poienile de sub Munte,POIENILEDESUBMUNTE,10563,10438,10123,19.51,33.89,30.07,3.82,10.06,10.49,-0.43,47.81996479,24.42999989
GHA90017,GHA,90017, ,KUNBUGU,10711,13515,16593,29.08,29.79,29.74,0.05,18.41,19.66,-1.26,9.330000053,-0.570000216
GIN90017,GIN,90017,Forécariah,FORECARIAH,10800,13664,16595,26.46,25.19,27.89,-2.70,20.70,20.20,0.50,9.430555332,-13.08805579
HND90017,HND,90017,Marcala,MARCALA,12265,14890,17833,55.01,29.47,29.14,0.33,15.93,14.08,1.85,14.1499934,-88.03333394
ALB90017,ALB,90017,Çorovodë,COROVODE,12306,12565,13125,26.07,39.87,38.02,1.85,17.15,15.42,1.73,40.50000034,20.2099987
TGO90017,TGO,90017, ,BADOU,12379,15576,20373,28.00,28.83,28.41,0.42,19.39,19.53,-0.14,7.583333869,0.599999785
PSE90017,PSE,90017,Tarqumiya,TARQUMIYA,14225,17495,21247,53.96,46.73,45.82,0.91,19.65,18.76,0.89,31.59515412,35.02299579
GNB90017,GNB,90017,Cacine,CACINE,14292,17740,20289,16.76,27.27,28.79,-1.53,20.91,20.43,0.48,11.12639874,-15.0192048
BEL90017,BEL,90017,Lessines,LESSINES,16515,16866,17203,28.27,30.89,30.29,0.60,11.93,12.39,-0.46,50.71990039,3.829999596
LBR90017,LBR,90017,Zwedru,ZWEDRU,17565,19438,30220,30.81,29.40,27.23,2.17,20.82,20.58,0.24,6.067222548,-8.128889338
CIV90017,CIV,90017,Vavoua,VAVOUA,17756,17756,17756,27.73,31.12,30.91,0.21,20.96,20.50,0.46,7.383333532,-6.483333321
AFG90017,AFG,90017,Pagman,PAGMAN,18206,27801,34402,45.18,42.81,43.84,-1.03,13.73,12.39,1.34,34.58000571,68.94999675
ARM90017,ARM,90017,Sisian,SISIAN,18554,18800,19050,24.75,35.90,33.56,2.34,10.32,9.23,1.08,39.52083378,46.03222262
BGD90017,BGD,90017,Alamdânga,ALAMDANGA,20406,22768,25404,21.08,28.29,34.78,-6.49,25.29,24.22,1.07,23.68451213,89.38379753
BEN90017,BEN,90017,Savalou,SAVALOU,21327,24127,24127,33.83,30.01,29.94,0.07,21.03,19.85,1.17,7.933333738,1.966666451
CUB90017,CUB,90017,Calimete,CALIMETE,21352,22203,23089,52.48,36.87,35.08,1.79,21.85,21.95,-0.11,22.53312173,-80.90611262
DEU90017,DEU,90017,Blomberg,BLOMBERG,24629,25672,26397,45.22,30.69,31.29,-0.60,10.89,11.12,-0.23,51.96472306,9.097439502
NGA90017,NGA,90017,Idah,IDAH,42572,55109,69337,37.05,31.28,29.31,1.97,22.51,20.17,2.34,7.098536236,6.740143807
TZA90017,TZA,90017,Sumbawanga,SUMBAWANGA,53610,68766,83930,48.55,32.17,32.45,-0.29,13.45,9.07,4.39,-7.966667188,31.61666665
IDN90017,IDN,90017,Ternate,TERNATE,83567,104770,132330,51.57,29.42,27.15,2.27,23.42,21.29,2.13,-3.275060157,126.0259968
RUS90017,RUS,90017,Neftejugansk,NEFTEJUGANSK,94930,100095,105540,283.00,27.18,27.62,-0.44,12.81,12.59,0.22,61.141237,72.7317853
BRA90018,BRA,90018,Navo Airpo,NOVOAIRAO,0,8581.095079,0,0.00,30.23,29.72,0.51,21.50,22.25,-0.75,-2.625867228,-60.94354338
NPL90018,NPL,90018,Dhulabari,DHULABARI,0,20555.40453,0,0.00,28.05,29.07,-1.02,26.68,25.07,1.61,26.66330171,88.09740676
IND90018,IND,90018,KUD,KUD,853,978,1111,5.35,23.84,27.26,-3.42,11.83,14.47,-2.65,33.08332861,75.28333266
HUN90018,HUN,90018,Felsonyárád,FELSONYARAD,1049,1064,1073,5.62,35.99,33.82,2.17,11.99,12.48,-0.49,48.33328695,20.59999992
USA90018,USA,90018,Village of Lake Isabella,VILLAGEOFLAKEISABELLA,1256,1279,1243,33.83,30.60,30.95,-0.35,12.12,11.32,0.80,43.64117077,-85.00782426
IRL90018,IRL,90018,Prosperous,PROSPEROUS,1315,1375,1479,18.89,31.76,31.57,0.19,8.14,7.95,0.19,53.29002852,-6.753889008
BWA90018,BWA,90018, ,MOSETSE,1374,1815,2142,17.95,43.32,43.38,-0.06,19.62,19.69,-0.08,-20.74988226,26.64999946
PER90018,PER,90018,JEBEROS,JEBEROS,1635,1698,1783,15.73,32.10,29.36,2.74,21.50,20.98,0.52,-5.283333404,-76.28333271
CMR90018,CMR,90018, ,KALFOU,1668,1757,1794,11.86,42.55,40.46,2.09,20.88,22.94,-2.06,10.28333218,14.93333328
COL90018,COL,90018,LA PLAYA,LAPLAYA,1878,2140,2344,13.14,31.36,32.07,-0.71,15.58,15.30,0.28,8.249999931,-73.16000418
GRC90018,GRC,90018,Tikherón,TIKHERON,2000,2000,2000,20.44,40.74,38.16,2.59,16.94,17.63,-0.69,41.02999864,26.28000048
LTU90018,LTU,90018,Simnas,SIMNAS,2065,2045,1990,16.41,27.29,27.64,-0.35,11.52,10.60,0.92,54.40000526,23.64999933
DNK90018,DNK,90018,Fårvang,FARVANG,2225,2242,2261,21.51,29.66,28.73,0.93,9.93,10.00,-0.08,56.25021533,9.741560012
SVN90018,SVN,90018,Senovo,SENOVO,2376,2433,2443,12.24,36.35,35.37,0.98,15.31,15.23,0.09,46.02359536,15.47694416
URY90018,URY,90018,CASUPA,CASUPA,2538,2584,2630,23.28,38.70,38.61,0.09,12.58,12.79,-0.21,-34.03333427,-55.65000159
GAB90018,GAB,90018, ,MBIGOU,2557,3257,3939,6.42,28.81,27.55,1.26,17.37,18.89,-1.52,-1.499936539,11.53999981
KGZ90018,KGZ,90018,Kek-Bel,KEKBEL,3536,4132,4829,23.64,38.32,37.23,1.09,12.18,12.12,0.06,40.25000112,72.93333356
MLI90018,MLI,90018,Korientze,KORIENTZE,3784,4723,5920,12.80,44.12,43.57,0.55,21.94,21.95,-0.01,15.40108362,-3.779201553
